accuracy,nsv,time,C,kernel,degree,gamma,coef0,shrinking,break_ties,feature_mask,number_of_selected_features,sensitivity_score,specificity_score,recall_score,roc_aoc,confusion_matrix,precision_score,f1_score,g_mean_score
0.9473684210526315,[33 23],7.3413331508636475,65093.494412869266,poly,2.0,79501.43831982292,184291.76338479714,True,False,[ 3 6 10 11 15 19 21 24 28 29 ],10,0.9571428571428572,0.9318181818181818,0.9571428571428572,0.9737012987012986,[67 3][3 41],0.9571428571428572,0.9571428571428572,0.9443956357814859
0.9473684210526315,[25 12],3.8367466926574707,5398.474222828703,poly,2.0,16109.146669526637,188634.48595259423,True,False,[ 3 5 7 9 11 13 14 15 16 17 19 20 21 24 29 ],15,0.9493670886075949,0.9428571428571428,0.9493670886075949,0.9866184448462929,[75 4][2 33],0.974025974025974,0.9615384615384615,0.9461065165652126
0.9649122807017544,[34 25],4.318734884262085,6673.462618103903,poly,3.0,138335.4138021684,166692.97651995398,True,False,[ 0 6 8 14 17 18 19 21 23 25 26 ],11,1.0,0.9183673469387755,1.0,0.9886970172684458,[65 0][4 45],0.9420289855072463,0.9701492537313433,0.9583148474999099
0.956140350877193,[32 22],7.282595872879028,145303.3636124644,poly,2.0,16121.076305396171,73692.19005788956,True,False,[ 4 9 10 13 21 22 23 26 27 28 ],10,0.9705882352941176,0.9347826086956522,0.9705882352941176,0.989769820971867,[66 2][3 43],0.9565217391304348,0.9635036496350365,0.9525171927884267
0.9385964912280702,[29 24],6.295864105224609,123872.64345275504,poly,3.0,125075.09249122933,44749.40285099657,True,False,[ 5 6 7 8 11 13 19 21 28 ],9,1.0,0.8478260869565217,1.0,0.9852941176470589,[68 0][7 39],0.9066666666666666,0.9510489510489509,0.920774721067277
0.9736842105263158,[33 21],7.089924573898315,94855.57928692727,poly,3.0,27012.24629342,179438.28621851167,True,False,[ 5 16 20 21 24 26 27 29 ],8,0.9861111111111112,0.9523809523809523,0.9861111111111112,0.9914021164021164,[71 1][2 40],0.9726027397260274,0.9793103448275863,0.9690992927215658
0.9824561403508771,[25 10],7.755619287490845,112908.66703424205,poly,3.0,470.328372937456,44301.109562047284,True,False,[ 5 7 10 11 17 18 20 21 23 24 26 28 ],12,0.9873417721518988,0.9714285714285714,0.9873417721518988,0.9949367088607595,[78 1][1 34],0.9873417721518988,0.9873417721518988,0.979352851240692
0.956140350877193,[27 15],5.829136610031128,4616.887234241869,poly,4.0,3266.243752426098,128321.29086810115,True,False,[ 1 2 4 5 7 8 12 13 14 16 17 24 26 ],13,0.96,0.9487179487179487,0.96,0.9924786324786324,[72 3][2 37],0.972972972972973,0.9664429530201343,0.9543423027243583
0.9649122807017544,[17 11],7.9451775550842285,128277.03751721967,linear,4.0,39930.89285160758,60597.34432023818,True,False,[ 0 3 5 6 9 11 13 14 18 21 23 25 28 ],13,0.96,0.9743589743589743,0.96,0.9972649572649572,[72 3][1 38],0.9863013698630136,0.9729729729729729,0.9671528397231822
0.9210526315789473,[42 24],3.446418046951294,95511.97968093134,poly,3.0,89036.33492669911,129259.56388340276,True,False,[ 1 2 3 6 9 15 21 23 24 ],9,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9613095238095238,[66 6][3 39],0.9565217391304348,0.9361702127659574,0.9225998461903602
0.9736842105263158,[31 15],29.70311427116394,134584.6007072305,poly,2.0,11420.636363023339,180268.24505751743,True,False,[ 0 1 4 9 10 16 17 19 23 24 25 26 28 ],13,0.958904109589041,1.0,0.958904109589041,0.9989976612094889,[70 3][0 41],1.0,0.9790209790209791,0.9792364931869324
0.9473684210526315,[17 10],6.882274389266968,5930.374805008081,linear,4.0,7924.265348349283,119559.64268246725,True,False,[ 4 6 7 10 11 12 13 15 21 22 25 27 ],12,0.9726027397260274,0.9024390243902439,0.9726027397260274,0.9736050785165385,[71 2][4 37],0.9466666666666667,0.9594594594594594,0.9368642738185903
0.9736842105263158,[28 14],5.661983489990234,73370.36272626549,poly,2.0,20805.509510688913,185309.98758009396,True,False,[ 1 2 4 5 11 13 16 18 21 22 24 25 26 ],13,0.9726027397260274,0.975609756097561,0.9726027397260274,0.9839625793518209,[71 2][1 40],0.9861111111111112,0.9793103448275863,0.9741050875978059
0.9736842105263158,[27 17],6.193511962890625,4456.996146486021,poly,3.0,7612.286623079859,191666.21585875336,True,False,[ 0 2 16 21 23 24 25 27 28 ],9,1.0,0.9302325581395349,1.0,0.996069439895185,[71 0][3 40],0.9594594594594594,0.9793103448275862,0.9644856443408242
