accuracy,nsv,time,C,kernel,degree,gamma,coef0,shrinking,break_ties,feature_mask,number_of_selected_features,sensitivity_score,specificity_score,recall_score,roc_aoc,confusion_matrix,precision_score,f1_score,g_mean_score
0.9649122807017544,[42 39],1.7098124027252197,66922.48070394629,poly,2.0,182777.40685083857,42187.04579828609,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9753086419753086,0.9393939393939394,0.9753086419753086,0.9775533108866441,[79 2][2 31],0.9753086419753086,0.9753086419753086,0.9571828599124299
0.9736842105263158,[35 17],3.129305124282837,176005.98794262504,poly,2.0,26006.650524660152,172401.40930568698,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9859154929577465,0.9534883720930233,0.9859154929577465,0.9724860792662955,[70 1][2 41],0.9722222222222222,0.979020979020979,0.9695663764805236
0.9649122807017544,[31 20],2.3291521072387695,53456.29923709857,poly,4.0,5886.255237206556,127787.21871340982,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9852941176470589,0.9347826086956522,0.9852941176470589,0.9856138107416879,[67 1][3 43],0.9571428571428572,0.9710144927536232,0.9597061037768795
0.9736842105263158,[42 29],2.365206241607666,192632.00444157748,poly,2.0,3177.3502561247305,4142.526888029448,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.974025974025974,0.972972972972973,0.974025974025974,0.9933309933309933,[75 2][1 36],0.9868421052631579,0.9803921568627451,0.9734993311250644
0.9736842105263158,[36 23],6.964379787445068,95377.52401910479,poly,2.0,141669.48680916018,164107.7051678751,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9333333333333333,1.0,0.994524959742351,[69 0][3 42],0.9583333333333334,0.9787234042553191,0.9660917830792959
0.956140350877193,[13  8],2.983081817626953,65866.09240924988,linear,4.0,181751.79760672845,25305.967444752285,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9761904761904762,0.9,0.9761904761904762,0.9722222222222222,[82 2][3 27],0.9647058823529412,0.9704142011834319,0.9373214115613857
0.9824561403508771,[38 31],3.324631929397583,154436.1966936147,poly,2.0,154594.0793984144,117328.95727430277,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.95,1.0,0.9891891891891891,[74 0][2 38],0.9736842105263158,0.9866666666666666,0.9746794344808963
0.9649122807017544,[38 25],39.67205238342285,14024.376937253455,poly,3.0,45756.75972727002,124264.14191794222,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.958904109589041,0.975609756097561,0.958904109589041,0.9903107250250586,[70 3][1 40],0.9859154929577465,0.9722222222222222,0.9672208664400873
0.9736842105263158,[35 22],65.24070477485657,96360.55719442051,poly,3.0,144323.70386694715,61142.33601309347,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9387755102040817,1.0,0.9952904238618524,[65 0][3 46],0.9558823529411765,0.9774436090225563,0.9689042833036098
0.9824561403508771,[39 23],7.860525846481323,89267.35545244311,poly,3.0,186252.52011869103,37546.68326021666,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9545454545454546,1.0,0.9772727272727273,[70 0][2 42],0.9722222222222222,0.9859154929577464,0.9770084209183945
