accuracy,nsv,time,C,kernel,degree,gamma,coef0,shrinking,break_ties,feature_mask,number_of_selected_features,sensitivity_score,specificity_score,recall_score,roc_aoc,confusion_matrix,precision_score,f1_score,g_mean_score
0.9736842105263158,[17  8],3.78047251701355,165567.0838131035,linear,3.0,98108.9210001555,41155.61367151519,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9868421052631579,0.9473684210526315,0.9868421052631579,0.9934210526315789,[75 1][2 36],0.974025974025974,0.9803921568627451,0.966903845835465
0.9736842105263158,[19  8],2.7231063842773438,10960.640843659276,linear,2.0,155757.50169490522,152453.56837077404,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9302325581395349,1.0,0.9921388797903701,[71 0][3 40],0.9594594594594594,0.9793103448275862,0.9644856443408242
0.956140350877193,[30 17],1.2634763717651367,191114.22621837864,poly,3.0,8795.86766988775,189223.6332876659,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9863013698630136,0.9024390243902439,0.9863013698630136,0.9645840294019378,[72 1][4 37],0.9473684210526315,0.9664429530201343,0.9434388406112709
0.9649122807017544,[31 15],7.763967037200928,84531.99721789727,poly,2.0,9915.523379711456,101454.05673131235,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9701492537313433,0.9574468085106383,0.9701492537313433,0.9818990155604954,[65 2][2 45],0.9701492537313433,0.9701492537313433,0.9637771042954134
0.9912280701754386,[15 12],64.83944416046143,96100.19005629372,linear,4.0,158270.29634773236,79860.48912112856,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9782608695652174,1.0,0.993925831202046,[68 0][1 45],0.9855072463768116,0.9927007299270074,0.9890707100936805
0.9649122807017544,[13  9],2.6262285709381104,68191.94773075952,linear,3.0,87348.75149685833,134079.6444439148,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.984375,0.94,0.984375,0.9878125,[63 1][3 47],0.9545454545454546,0.9692307692307692,0.9619316503785494
0.9824561403508771,[18  9],20.770383834838867,75895.91103370488,linear,2.0,139825.61035945712,4904.435080000353,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9830508474576272,0.9818181818181818,0.9830508474576272,0.9978428351309707,[58 1][1 54],0.9830508474576272,0.9830508474576272,0.9824343213088956
0.9824561403508771,[20 10],96.98149609565735,199218.40068132934,linear,4.0,38048.98922901945,31109.74876740912,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9861111111111112,0.9761904761904762,0.9861111111111112,0.9983465608465608,[71 1][1 41],0.9861111111111112,0.9861111111111112,0.9811382548511067
0.9736842105263158,[30 22],3.4746603965759277,64388.27549906172,poly,3.0,16855.212905695942,127874.75265024827,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9868421052631579,0.9473684210526315,0.9868421052631579,0.9954986149584488,[75 1][2 36],0.974025974025974,0.9803921568627451,0.966903845835465
0.9824561403508771,[41 24],2.4422314167022705,101453.19479400633,poly,3.0,173374.84943603704,75454.50626758,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9861111111111112,0.9761904761904762,0.9861111111111112,0.9937169312169312,[71 1][1 41],0.9861111111111112,0.9861111111111112,0.9811382548511067
0.9736842105263158,[36 23],13.171951293945312,68869.29440991385,poly,3.0,156773.33959253677,56238.65650847442,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9753086419753086,0.9696969696969697,0.9753086419753086,0.9895248784137674,[79 2][1 32],0.9875,0.9813664596273292,0.9724987581702732
0.9736842105263158,[32 23],2.3591489791870117,23532.13058484065,poly,2.0,103850.75042773152,178499.86223102536,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9876543209876543,0.9393939393939394,0.9876543209876543,0.9629629629629629,[80 1][2 31],0.975609756097561,0.9815950920245398,0.9632219284007393
0.9824561403508771,[11 12],2.0619397163391113,51383.2863056216,linear,3.0,80073.84410409149,59949.2264752288,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9459459459459459,1.0,0.981045981045981,[77 0][2 35],0.9746835443037974,0.9871794871794872,0.9725975251592747
0.956140350877193,[14 13],1.2839610576629639,86113.85887226312,linear,3.0,10200.159845815628,21809.666141136153,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9871794871794872,0.8888888888888888,0.9871794871794872,0.9683048433048432,[77 1][4 32],0.9506172839506173,0.9685534591194969,0.9367458980389919
0.9736842105263158,[41 23],2.0311014652252197,166255.14800374134,poly,3.0,107099.73690063419,168278.52545546027,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9714285714285714,0.9772727272727273,0.9714285714285714,0.9889610389610389,[68 2][1 43],0.9855072463768116,0.9784172661870504,0.9743462676844662
0.9736842105263158,[36 27],6.505104303359985,120421.78573657431,poly,3.0,132114.00302955284,147282.73372910364,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9302325581395349,1.0,0.9924664264657714,[71 0][3 40],0.9594594594594594,0.9793103448275862,0.9644856443408242
0.9824561403508771,[14 12],5.7433905601501465,166364.25752071117,linear,3.0,5666.867209253751,124707.76452540593,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9512195121951219,1.0,0.9736050785165385,[73 0][2 39],0.9733333333333334,0.9864864864864865,0.9753048303966929
0.9824561403508771,[37 27],5.559272289276123,167495.68115177078,poly,3.0,136628.43070814182,29892.633584652078,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9534883720930233,1.0,0.9908286930887651,[71 0][2 41],0.9726027397260274,0.9861111111111112,0.9764672918705589
0.9649122807017544,[37 29],2.8480687141418457,164192.37598349733,poly,3.0,42442.09592958232,1477.9952797462124,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9583333333333334,0.9761904761904762,0.9583333333333334,0.9927248677248677,[69 3][1 41],0.9857142857142858,0.971830985915493,0.9672206950928381
0.9649122807017544,[18  9],10.47749137878418,83315.45762831741,linear,2.0,187519.7656505631,44756.61680293057,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9655172413793104,0.9642857142857143,0.9655172413793104,0.9816810344827585,[56 2][2 54],0.9655172413793104,0.9655172413793104,0.9649012813540154
0.9736842105263158,[35 23],77.91348338127136,181953.97449688925,poly,3.0,152088.606876332,6437.623971045275,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9142857142857143,1.0,0.9938517179023508,[79 0][3 32],0.9634146341463414,0.9813664596273292,0.9561828874675149
0.9736842105263158,[30 23],3.135465145111084,184868.82732438066,poly,3.0,5428.138365921903,44871.67931763631,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9743589743589743,0.9722222222222222,0.9743589743589743,0.9807692307692307,[76 2][1 35],0.987012987012987,0.9806451612903225,0.9732900119149724
0.9736842105263158,[28 20],1.6099932193756104,161903.7763083972,poly,3.0,18088.09874596045,190348.22894571375,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9873417721518988,0.9428571428571428,0.9873417721518988,0.9873417721518988,[78 1][2 33],0.975,0.9811320754716981,0.9648431179806629
0.9736842105263158,[33 11],5.211499214172363,56784.66595469115,poly,3.0,2199.480620657022,50425.008184348466,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9714285714285714,0.9772727272727273,0.9714285714285714,0.9974025974025974,[68 2][1 43],0.9855072463768116,0.9784172661870504,0.9743462676844662
0.9649122807017544,[36 17],1.6043589115142822,139578.85615738452,poly,3.0,47628.33064914433,164066.6088841717,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9571428571428572,0.9772727272727273,0.9571428571428572,0.9857142857142857,[67 3][1 43],0.9852941176470589,0.9710144927536232,0.9671554220442599
0.9824561403508771,[43 25],2.1179869174957275,13372.722309469096,poly,3.0,186682.96787146863,197424.26391987308,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,1.0,0.9583333333333334,1.0,0.9996843434343434,[66 0][2 46],0.9705882352941176,0.9850746268656716,0.9789450103725609
0.9473684210526315,[12 11],2.4481024742126465,101377.58490653544,linear,3.0,50105.82335680224,102947.8644523976,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.974025974025974,0.8918918918918919,0.974025974025974,0.9684099684099685,[75 2][4 33],0.9493670886075949,0.9615384615384615,0.9320546490018
0.9649122807017544,[18 11],36.52714514732361,113738.55808807763,linear,2.0,32410.825244135598,140627.8490880142,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9710144927536232,0.9555555555555556,0.9710144927536232,0.9961352657004832,[67 2][2 43],0.9710144927536232,0.9710144927536232,0.9632540127482908
0.956140350877193,[33 22],2.726161241531372,57290.636881861516,poly,3.0,117454.4950969512,148735.57582717336,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9710144927536232,0.9333333333333333,0.9710144927536232,0.9848631239935587,[67 2][3 42],0.9571428571428572,0.9640287769784173,0.9519874963657426
0.9736842105263158,[33 20],4.307769536972046,190545.01225760707,poly,3.0,21909.37490137457,192503.03030842083,True,False,[ 0 2 3 5 6 7 10 12 13 20 22 23 25 26 27 ],15,0.9850746268656716,0.9574468085106383,0.9850746268656716,0.9965068275643061,[66 1][2 45],0.9705882352941176,0.9777777777777777,0.9711624774657149
